iteration,p0_a1,p0_a2,p0_a3,p1_a1,p1_a2,p1_a3,br_p0,br_p1,full_exploitability
287,0.235294,0.536332,0.228374,0.152249,0.356401,0.491349,2,2,0.153171
288,0.234483,0.534483,0.231034,0.151724,0.355172,0.493103,2,2,0.153181
289,0.233677,0.532646,0.233677,0.151203,0.353952,0.494845,2,2,0.153187
290,0.232877,0.530822,0.236301,0.150685,0.352740,0.496575,2,2,0.153189
291,0.232082,0.529010,0.238908,0.150171,0.351536,0.498294,2,2,0.153188
292,0.231293,0.527211,0.241497,0.149660,0.350340,0.500000,2,2,0.153183
293,0.230508,0.525424,0.244068,0.149153,0.349153,0.501695,2,2,0.153174
294,0.229730,0.523649,0.246622,0.148649,0.347973,0.503378,2,2,0.153163
295,0.228956,0.521886,0.249158,0.148148,0.346801,0.505051,2,2,0.153148
296,0.228188,0.520134,0.251678,0.147651,0.345638,0.506711,2,2,0.153129
297,0.227425,0.518395,0.254181,0.147157,0.344482,0.508361,2,2,0.153108
298,0.226667,0.516667,0.256667,0.146667,0.343333,0.510000,2,2,0.153083
299,0.225914,0.514950,0.259136,0.146179,0.342193,0.511628,2,2,0.153056
300,0.225166,0.513245,0.261589,0.145695,0.341060,0.513245,2,2,0.153025
301,0.224422,0.511551,0.264026,0.145215,0.339934,0.514851,2,2,0.152992
302,0.223684,0.509868,0.266447,0.144737,0.338816,0.516447,2,2,0.152955
303,0.222951,0.508197,0.268852,0.144262,0.337705,0.518033,2,2,0.152916
304,0.222222,0.506536,0.271242,0.143791,0.336601,0.519608,2,2,0.152874
305,0.221498,0.504886,0.273616,0.143322,0.335505,0.521173,2,2,0.152829
306,0.220779,0.503247,0.275974,0.142857,0.334416,0.522727,2,2,0.152782
307,0.220065,0.501618,0.278317,0.142395,0.333333,0.524272,2,2,0.152732
308,0.219355,0.500000,0.280645,0.141935,0.332258,0.525806,2,2,0.152680
309,0.218650,0.498392,0.282958,0.141479,0.331190,0.527331,2,2,0.152625
310,0.217949,0.496795,0.285256,0.141026,0.330128,0.528846,2,2,0.152567
311,0.217252,0.495208,0.287540,0.140575,0.329073,0.530351,2,2,0.152507
312,0.216561,0.493631,0.289809,0.140127,0.328025,0.531847,2,2,0.152445
313,0.215873,0.492063,0.292063,0.139683,0.326984,0.533333,2,2,0.152381
314,0.215190,0.490506,0.294304,0.139241,0.325949,0.534810,2,2,0.152314
315,0.214511,0.488959,0.296530,0.138801,0.324921,0.536278,2,2,0.152246
316,0.213836,0.487421,0.298742,0.138365,0.323899,0.537736,2,2,0.152175
317,0.213166,0.485893,0.300940,0.137931,0.322884,0.539185,2,2,0.152101
318,0.212500,0.484375,0.303125,0.137500,0.321875,0.540625,2,2,0.152026
319,0.211838,0.482866,0.305296,0.137072,0.320872,0.542056,2,2,0.151949
320,0.211180,0.481366,0.307453,0.136646,0.319876,0.543478,2,2,0.151870
321,0.210526,0.479876,0.309598,0.136223,0.318885,0.544892,2,2,0.151789
322,0.209877,0.478395,0.311728,0.135802,0.317901,0.546296,2,2,0.151706
323,0.209231,0.476923,0.313846,0.135385,0.316923,0.547692,2,2,0.151621
324,0.208589,0.475460,0.315951,0.134969,0.315951,0.549080,2,2,0.151535
325,0.207951,0.474006,0.318043,0.134557,0.314985,0.550459,2,2,0.151446
326,0.207317,0.472561,0.320122,0.134146,0.314024,0.551829,2,2,0.151356
327,0.206687,0.471125,0.322188,0.133739,0.313070,0.553191,2,2,0.151264
328,0.206061,0.469697,0.324242,0.133333,0.312121,0.554545,2,2,0.151171
329,0.205438,0.468278,0.326284,0.132931,0.311178,0.555891,2,2,0.151076
330,0.204819,0.466867,0.328313,0.132530,0.310241,0.557229,2,2,0.150979
331,0.204204,0.465465,0.330330,0.132132,0.309309,0.558559,2,2,0.150881
332,0.203593,0.464072,0.332335,0.131737,0.308383,0.559880,2,2,0.150781
333,0.202985,0.462687,0.334328,0.131343,0.307463,0.561194,2,2,0.150679
