iteration,p0_avg_heads,p0_avg_tails,p1_avg_heads,p1_avg_tails,p0_best_response,p1_best_response,full_exploitability
269,0.511111,0.488889,0.466667,0.533333,1,1,4.444444e-02
270,0.509225,0.490775,0.464945,0.535055,1,1,4.428044e-02
271,0.507353,0.492647,0.463235,0.536765,1,1,4.411765e-02
272,0.505495,0.494505,0.461538,0.538462,1,1,4.395604e-02
273,0.503650,0.496350,0.459854,0.540146,1,1,4.379562e-02
274,0.501818,0.498182,0.458182,0.541818,1,1,4.363636e-02
275,0.500000,0.500000,0.456522,0.543478,1,1,4.347826e-02
276,0.498195,0.501805,0.458484,0.541516,1,0,4.332130e-02
277,0.496403,0.503597,0.460432,0.539568,1,0,4.316547e-02
278,0.494624,0.505376,0.462366,0.537634,1,0,4.301075e-02
279,0.492857,0.507143,0.464286,0.535714,1,0,4.285714e-02
280,0.491103,0.508897,0.466192,0.533808,1,0,4.270463e-02
281,0.489362,0.510638,0.468085,0.531915,1,0,4.255319e-02
282,0.487633,0.512367,0.469965,0.530035,1,0,4.240283e-02
283,0.485915,0.514085,0.471831,0.528169,1,0,4.225352e-02
284,0.484211,0.515789,0.473684,0.526316,1,0,4.210526e-02
285,0.482517,0.517483,0.475524,0.524476,1,0,4.195804e-02
286,0.480836,0.519164,0.477352,0.522648,1,0,4.181185e-02
287,0.479167,0.520833,0.479167,0.520833,1,0,4.166667e-02
288,0.477509,0.522491,0.480969,0.519031,1,0,4.152249e-02
289,0.475862,0.524138,0.482759,0.517241,1,0,4.137931e-02
290,0.474227,0.525773,0.484536,0.515464,1,0,4.123711e-02
291,0.472603,0.527397,0.486301,0.513699,1,0,4.109589e-02
292,0.470990,0.529010,0.488055,0.511945,1,0,4.095563e-02
293,0.469388,0.530612,0.489796,0.510204,1,0,4.081633e-02
294,0.467797,0.532203,0.491525,0.508475,1,0,4.067797e-02
295,0.466216,0.533784,0.493243,0.506757,1,0,4.054054e-02
296,0.464646,0.535354,0.494949,0.505051,1,0,4.040404e-02
297,0.463087,0.536913,0.496644,0.503356,1,0,4.026846e-02
298,0.461538,0.538462,0.498328,0.501672,1,0,4.013378e-02
299,0.460000,0.540000,0.500000,0.500000,1,0,4.000000e-02
300,0.461794,0.538206,0.501661,0.498339,0,0,3.986711e-02
301,0.463576,0.536424,0.503311,0.496689,0,0,3.973510e-02
302,0.465347,0.534653,0.504950,0.495050,0,0,3.960396e-02
303,0.467105,0.532895,0.506579,0.493421,0,0,3.947368e-02
304,0.468852,0.531148,0.508197,0.491803,0,0,3.934426e-02
305,0.470588,0.529412,0.509804,0.490196,0,0,3.921569e-02
306,0.472313,0.527687,0.511401,0.488599,0,0,3.908795e-02
307,0.474026,0.525974,0.512987,0.487013,0,0,3.896104e-02
308,0.475728,0.524272,0.514563,0.485437,0,0,3.883495e-02
309,0.477419,0.522581,0.516129,0.483871,0,0,3.870968e-02
310,0.479100,0.520900,0.517685,0.482315,0,0,3.858521e-02
311,0.480769,0.519231,0.519231,0.480769,0,0,3.846154e-02
312,0.482428,0.517572,0.520767,0.479233,0,0,3.833866e-02
313,0.484076,0.515924,0.522293,0.477707,0,0,3.821656e-02
314,0.485714,0.514286,0.523810,0.476190,0,0,3.809524e-02
315,0.487342,0.512658,0.525316,0.474684,0,0,3.797468e-02
316,0.488959,0.511041,0.526814,0.473186,0,0,3.785489e-02
317,0.490566,0.509434,0.528302,0.471698,0,0,3.773585e-02
318,0.492163,0.507837,0.529781,0.470219,0,0,3.761755e-02
319,0.493750,0.506250,0.531250,0.468750,0,0,3.750000e-02
320,0.495327,0.504673,0.532710,0.467290,0,0,3.738318e-02
321,0.496894,0.503106,0.534161,0.465839,0,0,3.726708e-02
322,0.498452,0.501548,0.535604,0.464396,0,0,3.715170e-02
323,0.500000,0.500000,0.537037,0.462963,0,0,3.703704e-02
324,0.501538,0.498462,0.538462,0.461538,0,0,4.000000e-02
325,0.503067,0.496933,0.536810,0.463190,0,1,3.987730e-02
326,0.504587,0.495413,0.535168,0.464832,0,1,3.975535e-02
327,0.506098,0.493902,0.533537,0.466463,0,1,3.963415e-02
328,0.507599,0.492401,0.531915,0.468085,0,1,3.951368e-02
329,0.509091,0.490909,0.530303,0.469697,0,1,3.939394e-02
330,0.510574,0.489426,0.528701,0.471299,0,1,3.927492e-02
331,0.512048,0.487952,0.527108,0.472892,0,1,3.915663e-02
332,0.513514,0.486486,0.525526,0.474474,0,1,3.903904e-02
333,0.514970,0.485030,0.523952,0.476048,0,1,3.892216e-02
334,0.516418,0.483582,0.522388,0.477612,0,1,3.880597e-02
335,0.517857,0.482143,0.520833,0.479167,0,1,3.869048e-02
336,0.519288,0.480712,0.519288,0.480712,0,1,3.857567e-02
337,0.520710,0.479290,0.517751,0.482249,0,1,3.846154e-02
338,0.522124,0.477876,0.516224,0.483776,0,1,3.834808e-02
339,0.523529,0.476471,0.514706,0.485294,0,1,3.823529e-02
340,0.524927,0.475073,0.513196,0.486804,0,1,3.812317e-02
341,0.526316,0.473684,0.511696,0.488304,0,1,3.801170e-02
342,0.527697,0.472303,0.510204,0.489796,0,1,3.790087e-02
343,0.529070,0.470930,0.508721,0.491279,0,1,3.779070e-02
344,0.530435,0.469565,0.507246,0.492754,0,1,3.768116e-02
