step,p0_heads,p1_heads
1008,0.637070,0.375269
1009,0.585569,0.423260
1010,0.544450,0.391937
1011,0.508992,0.365984
1012,0.478768,0.344514
1013,0.453190,0.326746
1014,0.408002,0.379734
1015,0.387076,0.355887
1016,0.421554,0.397216
1017,0.477346,0.361855
1018,0.433168,0.412288
1019,0.406832,0.383757
1020,0.457852,0.354038
1021,0.501969,0.329623
1022,0.464614,0.307648
1023,0.507751,0.288351
1024,0.469507,0.271017
1025,0.437262,0.256809
1026,0.410253,0.245123
1027,0.374153,0.293665
1028,0.344516,0.339041
1029,0.323600,0.312382
1030,0.300115,0.356124
1031,0.283598,0.326301
1032,0.269999,0.302000
1033,0.252055,0.346674
1034,0.241324,0.318601
1035,0.232451,0.295723
1036,0.218638,0.340929
1037,0.207370,0.381814
1038,0.198134,0.417961
1039,0.242371,0.399014
1040,0.227903,0.358593
1041,0.219469,0.394702
1042,0.207977,0.355079
1043,0.198563,0.322872
1044,0.242948,0.375834
1045,0.285634,0.423375
1046,0.325247,0.464970
1047,0.314497,0.434726
1048,0.372575,0.396685
1049,0.410402,0.437210
1050,0.443430,0.472350
1051,0.498011,0.427956
1052,0.526683,0.464371
1053,0.498309,0.438644
1054,0.549012,0.396195
1055,0.517394,0.375272
1056,0.466843,0.429292
1057,0.424363,0.476629
1058,0.398217,0.442495
1059,0.376434,0.413889
1060,0.358300,0.390015
1061,0.343196,0.370124
1062,0.330601,0.353554
1063,0.320082,0.339738
1064,0.378921,0.307265
1065,0.345159,0.362439
1066,0.327390,0.342118
1067,0.367181,0.382235
1068,0.332923,0.436399
1069,0.372136,0.473011
1070,0.336949,0.520633
1071,0.308381,0.560853
1072,0.285190,0.594443
1073,0.328859,0.624322
1074,0.314097,0.580545
1075,0.352893,0.606290
1076,0.387492,0.627724
1077,0.446358,0.574339
1078,0.403913,0.609234
1079,0.441049,0.635212
1080,0.473158,0.656696
1081,0.500638,0.674471
1082,0.523999,0.689197
1083,0.574972,0.635080
1084,0.617123,0.586162
1085,0.635722,0.616109
1086,0.580399,0.644719
1087,0.616168,0.599193
1088,0.568504,0.623990
1089,0.600564,0.655158
1090,0.558330,0.606003
1091,0.521729,0.562417
1092,0.490418,0.524568
1093,0.463853,0.492155
1094,0.417613,0.539504
1095,0.469261,0.493332
1096,0.504326,0.528982
1097,0.459256,0.568891
1098,0.429157,0.528570
1099,0.477777,0.483938
1100,0.439671,0.524292
1101,0.481107,0.486346
1102,0.523452,0.529036
1103,0.483939,0.488393
1104,0.445170,0.528783
1105,0.412261,0.488177
1106,0.380560,0.528600
1107,0.425597,0.564586
1108,0.391597,0.598050
1109,0.435301,0.627341
1110,0.481380,0.580733
1111,0.519686,0.613014
1112,0.484171,0.568790
1113,0.516735,0.596523
1114,0.561232,0.546854
1115,0.598323,0.503848
1116,0.629006,0.467223
1117,0.654302,0.436351
1118,0.675144,0.410484
1119,0.632348,0.445817
1120,0.650631,0.423683
1121,0.596138,0.381084
1122,0.556888,0.416871
1123,0.507747,0.375495
1124,0.465820,0.341676
1125,0.430536,0.314129
1126,0.474775,0.297870
1127,0.515566,0.349202
1128,0.478554,0.325449
1129,0.447261,0.305935
1130,0.495309,0.285057
